system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
0,113.0,1.0,97.0,83.0,58.0,121.0,189.0,212.0,126.0,136.0,148.0,141.0,18.0,0.0,0.0,0.0,6.0,5.0,12.0,19.0,305.0,20180208T101151_20180208T101153_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
1,113.0,1.0,97.0,92.0,63.0,129.0,194.0,215.0,118.0,143.0,150.0,138.0,5.0,0.0,0.0,0.0,6.0,6.0,13.0,19.0,302.0,20180208T101151_20180208T101153_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
2,113.0,5207.0,1075.0,1028.0,5344.0,5199.0,5351.0,5547.0,5436.0,5307.0,5579.0,5215.0,4807.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,584.0,20180213T101119_20180213T101559_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
3,113.0,4905.0,1063.0,1025.0,5357.0,5203.0,5349.0,5547.0,5377.0,5263.0,5571.0,5215.0,4519.0,0.0,0.0,0.0,8.0,255.0,255.0,255.0,589.0,20180213T101119_20180213T101559_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
4,167.0,455.0,115.0,82.0,482.0,616.0,570.0,616.0,531.0,457.0,402.0,405.0,247.0,0.0,0.0,0.0,6.0,49.0,62.0,58.0,231.0,20180303T102021_20180303T102019_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
5,202.0,448.0,81.0,86.0,473.0,573.0,533.0,506.0,439.0,381.0,358.0,325.0,237.0,0.0,0.0,0.0,6.0,48.0,58.0,54.0,236.0,20180303T102021_20180303T102019_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
6,125.0,184.0,95.0,98.0,372.0,430.0,412.0,402.0,342.0,312.0,316.0,277.0,191.0,0.0,0.0,0.0,6.0,37.0,43.0,42.0,204.0,20180223T101019_20180223T101508_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
7,95.0,47.0,79.0,72.0,155.0,211.0,148.0,186.0,121.0,164.0,97.0,168.0,53.0,0.0,0.0,0.0,6.0,17.0,23.0,16.0,1018.0,20181014T102019_20181014T102019_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
8,89.0,90.0,94.0,64.0,168.0,222.0,156.0,197.0,127.0,175.0,107.0,143.0,59.0,0.0,0.0,0.0,6.0,19.0,23.0,17.0,1015.0,20181014T102019_20181014T102019_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
9,101.0,110.0,65.0,46.0,203.0,202.0,157.0,231.0,102.0,127.0,137.0,87.0,116.0,0.0,0.0,0.0,6.0,21.0,21.0,16.0,829.0,20181011T101019_20181011T101020_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
10,95.0,105.0,80.0,65.0,208.0,213.0,166.0,216.0,109.0,126.0,149.0,110.0,72.0,0.0,0.0,0.0,6.0,22.0,22.0,17.0,826.0,20181011T101019_20181011T101020_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
11,119.0,139.0,114.0,113.0,375.0,432.0,417.0,407.0,359.0,367.0,320.0,273.0,199.0,0.0,0.0,0.0,6.0,38.0,44.0,42.0,202.0,20180223T101019_20180223T101508_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
12,113.0,202.0,83.0,84.0,120.0,104.0,52.0,57.0,44.0,20.0,43.0,42.0,41.0,0.0,0.0,0.0,6.0,13.0,11.0,6.0,827.0,20181205T101401_20181205T101359_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
13,113.0,233.0,71.0,82.0,122.0,107.0,53.0,73.0,32.0,52.0,44.0,56.0,38.0,0.0,0.0,0.0,6.0,13.0,11.0,6.0,837.0,20181205T101401_20181205T101359_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
14,119.0,153.0,67.0,47.0,118.0,72.0,133.0,146.0,64.0,85.0,64.0,55.0,45.0,0.0,0.0,0.0,6.0,14.0,7.0,12.0,513.0,20181128T102351_20181128T102346_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
15,89.0,219.0,64.0,42.0,198.0,140.0,184.0,222.0,103.0,155.0,113.0,116.0,101.0,0.0,0.0,0.0,6.0,18.0,15.0,21.0,505.0,20181128T102351_20181128T102346_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
16,154.0,191.0,237.0,185.0,215.0,310.0,286.0,312.0,271.0,266.0,282.0,271.0,301.0,0.0,0.0,0.0,2.0,21.0,31.0,29.0,1132.0,20180409T101031_20180409T101343_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
17,155.0,167.0,244.0,188.0,216.0,314.0,285.0,318.0,254.0,261.0,281.0,282.0,220.0,0.0,0.0,0.0,2.0,22.0,32.0,29.0,1128.0,20180409T101031_20180409T101343_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
18,95.0,1.0,119.0,80.0,134.0,251.0,197.0,238.0,146.0,185.0,157.0,115.0,34.0,0.0,0.0,0.0,6.0,14.0,26.0,21.0,1514.0,20180822T101019_20180822T101321_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
19,95.0,10.0,112.0,76.0,137.0,254.0,196.0,230.0,128.0,175.0,158.0,96.0,55.0,0.0,0.0,0.0,6.0,14.0,26.0,20.0,1499.0,20180822T101019_20180822T101321_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
20,65.0,161.0,165.0,141.0,166.0,244.0,158.0,152.0,162.0,171.0,169.0,175.0,224.0,0.0,0.0,0.0,6.0,16.0,24.0,16.0,1253.0,20180507T102019_20180507T102022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
21,101.0,53.0,114.0,102.0,105.0,281.0,176.0,193.0,106.0,126.0,131.0,112.0,33.0,0.0,0.0,0.0,6.0,11.0,29.0,18.0,1680.0,20180807T101021_20180807T101024_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
22,95.0,70.0,119.0,82.0,109.0,285.0,181.0,188.0,116.0,115.0,140.0,142.0,117.0,0.0,0.0,0.0,6.0,12.0,29.0,19.0,1679.0,20180807T101021_20180807T101024_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
23,65.0,34.0,175.0,151.0,119.0,227.0,157.0,151.0,142.0,169.0,167.0,166.0,146.0,0.0,0.0,0.0,6.0,12.0,23.0,16.0,1242.0,20180507T102019_20180507T102022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
24,65.0,115.0,144.0,93.0,139.0,238.0,168.0,184.0,189.0,231.0,229.0,189.0,120.0,0.0,0.0,0.0,6.0,14.0,24.0,17.0,1598.0,20180429T101031_20180429T101258_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
25,71.0,170.0,104.0,97.0,105.0,124.0,84.0,83.0,79.0,137.0,70.0,100.0,68.0,0.0,0.0,0.0,6.0,11.0,13.0,9.0,1154.0,20180606T102019_20180606T102512_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
26,71.0,132.0,118.0,88.0,96.0,175.0,125.0,125.0,94.0,117.0,133.0,146.0,197.0,0.0,0.0,0.0,6.0,10.0,18.0,13.0,1344.0,20180529T101031_20180529T101225_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
27,59.0,54.0,156.0,90.0,146.0,200.0,153.0,155.0,182.0,221.0,230.0,222.0,105.0,0.0,0.0,0.0,7.0,14.0,20.0,15.0,780.0,20180504T101029_20180504T101023_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
28,166.0,247.0,202.0,158.0,226.0,375.0,281.0,334.0,244.0,231.0,261.0,224.0,270.0,0.0,0.0,0.0,6.0,23.0,38.0,28.0,1500.0,20180419T101031_20180419T101457_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
29,101.0,70.0,109.0,86.0,19.0,112.0,91.0,101.0,69.0,81.0,101.0,104.0,182.0,0.0,0.0,0.0,6.0,2.0,12.0,10.0,1430.0,20180608T101021_20180608T101024_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
30,65.0,83.0,140.0,95.0,136.0,236.0,168.0,185.0,194.0,241.0,226.0,196.0,15.0,0.0,0.0,0.0,6.0,13.0,24.0,17.0,1601.0,20180429T101031_20180429T101258_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
31,77.0,64.0,113.0,88.0,87.0,171.0,122.0,121.0,84.0,99.0,125.0,124.0,117.0,0.0,0.0,0.0,6.0,9.0,18.0,13.0,1374.0,20180529T101031_20180529T101225_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
32,71.0,75.0,102.0,84.0,106.0,123.0,83.0,100.0,82.0,126.0,73.0,93.0,,0.0,0.0,0.0,6.0,12.0,13.0,9.0,1177.0,20180606T102019_20180606T102512_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
33,101.0,1.0,105.0,86.0,16.0,112.0,90.0,102.0,62.0,80.0,101.0,82.0,67.0,0.0,0.0,0.0,6.0,2.0,12.0,10.0,1430.0,20180608T101021_20180608T101024_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
34,173.0,179.0,184.0,151.0,218.0,366.0,277.0,353.0,266.0,259.0,254.0,222.0,207.0,0.0,0.0,0.0,6.0,22.0,37.0,28.0,1491.0,20180419T101031_20180419T101457_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
35,59.0,1.0,154.0,96.0,142.0,199.0,153.0,162.0,194.0,204.0,232.0,201.0,58.0,0.0,0.0,0.0,7.0,14.0,20.0,15.0,804.0,20180504T101029_20180504T101023_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
36,142.0,86.0,199.0,175.0,87.0,228.0,161.0,178.0,135.0,113.0,200.0,172.0,249.0,0.0,0.0,0.0,2.0,8.0,23.0,16.0,1780.0,20180509T101031_20180509T101027_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
37,125.0,288.0,113.0,71.0,234.0,304.0,198.0,211.0,111.0,131.0,126.0,85.0,210.0,0.0,0.0,0.0,6.0,24.0,31.0,21.0,2504.0,20180731T102021_20180731T102024_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
38,83.0,91.0,85.0,73.0,100.0,215.0,125.0,155.0,94.0,87.0,103.0,61.0,1.0,0.0,0.0,0.0,6.0,11.0,22.0,13.0,1665.0,20180909T102021_20180909T102205_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
39,83.0,128.0,87.0,80.0,102.0,216.0,126.0,155.0,76.0,88.0,103.0,72.0,1.0,0.0,0.0,0.0,6.0,11.0,22.0,14.0,1658.0,20180909T102021_20180909T102205_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
40,131.0,222.0,95.0,68.0,224.0,297.0,192.0,204.0,107.0,127.0,118.0,86.0,137.0,0.0,0.0,0.0,6.0,22.0,31.0,20.0,2509.0,20180731T102021_20180731T102024_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
41,149.0,30.0,193.0,182.0,79.0,218.0,154.0,177.0,139.0,134.0,189.0,150.0,85.0,0.0,0.0,0.0,2.0,8.0,22.0,15.0,1794.0,20180509T101031_20180509T101027_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
42,77.0,7.0,123.0,86.0,148.0,132.0,114.0,193.0,64.0,91.0,132.0,101.0,60.0,0.0,0.0,0.0,6.0,16.0,14.0,12.0,1311.0,20181021T101039_20181021T101201_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
43,77.0,23.0,114.0,82.0,145.0,134.0,118.0,160.0,66.0,101.0,134.0,119.0,90.0,0.0,0.0,0.0,6.0,15.0,14.0,12.0,1315.0,20181021T101039_20181021T101201_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
44,185.0,1.0,74.0,78.0,40.0,174.0,127.0,158.0,69.0,48.0,66.0,23.0,1.0,0.0,0.0,0.0,6.0,5.0,18.0,13.0,1954.0,20180906T101021_20180906T101022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
45,83.0,89.0,160.0,121.0,169.0,218.0,174.0,181.0,173.0,179.0,189.0,151.0,381.0,0.0,0.0,0.0,6.0,17.0,22.0,17.0,1330.0,20180514T101029_20180514T101052_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
46,83.0,41.0,175.0,121.0,167.0,216.0,175.0,185.0,169.0,175.0,189.0,182.0,202.0,0.0,0.0,0.0,6.0,17.0,22.0,17.0,1340.0,20180514T101029_20180514T101052_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
47,184.0,5.0,83.0,86.0,38.0,176.0,125.0,143.0,69.0,36.0,67.0,31.0,1.0,0.0,0.0,0.0,6.0,4.0,18.0,13.0,1964.0,20180906T101021_20180906T101022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
48,137.0,1.0,149.0,114.0,89.0,187.0,128.0,146.0,87.0,120.0,106.0,102.0,47.0,0.0,0.0,0.0,3.0,11.0,19.0,14.0,2632.0,20180726T102019_20180726T102150_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
49,131.0,1.0,155.0,113.0,86.0,192.0,136.0,154.0,105.0,122.0,114.0,108.0,188.0,0.0,0.0,0.0,3.0,9.0,20.0,14.0,2656.0,20180726T102019_20180726T102150_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
50,155.0,216.0,136.0,101.0,205.0,315.0,205.0,223.0,183.0,175.0,151.0,162.0,121.0,0.0,0.0,0.0,6.0,23.0,33.0,21.0,2215.0,20180919T102021_20180919T102018_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
51,107.0,55.0,156.0,104.0,162.0,230.0,166.0,192.0,188.0,199.0,171.0,152.0,63.0,0.0,0.0,0.0,6.0,16.0,23.0,16.0,989.0,20180417T102019_20180417T102021_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
52,95.0,116.0,145.0,116.0,155.0,247.0,176.0,186.0,147.0,214.0,193.0,193.0,273.0,0.0,0.0,0.0,7.0,15.0,25.0,17.0,1102.0,20180522T102031_20180522T102025_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
53,95.0,90.0,102.0,76.0,100.0,188.0,125.0,123.0,87.0,145.0,104.0,109.0,1.0,0.0,0.0,0.0,6.0,12.0,20.0,14.0,1950.0,20180716T102019_20180716T102549_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
54,113.0,1.0,158.0,103.0,148.0,220.0,159.0,212.0,197.0,193.0,163.0,152.0,16.0,0.0,0.0,0.0,6.0,15.0,22.0,16.0,1006.0,20180417T102019_20180417T102021_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
55,89.0,181.0,148.0,103.0,159.0,249.0,181.0,195.0,165.0,203.0,202.0,233.0,408.0,0.0,0.0,0.0,2.0,16.0,25.0,18.0,1117.0,20180522T102031_20180522T102025_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
56,196.0,172.0,217.0,168.0,120.0,278.0,236.0,286.0,218.0,256.0,251.0,237.0,177.0,0.0,0.0,0.0,6.0,13.0,29.0,24.0,1657.0,20181016T101021_20181016T101021_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
57,191.0,150.0,221.0,169.0,130.0,283.0,246.0,301.0,246.0,244.0,260.0,239.0,154.0,0.0,0.0,0.0,6.0,14.0,29.0,25.0,1653.0,20181016T101021_20181016T101021_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
58,148.0,261.0,134.0,105.0,221.0,324.0,212.0,229.0,182.0,206.0,160.0,154.0,142.0,0.0,0.0,0.0,3.0,24.0,33.0,22.0,2194.0,20180919T102021_20180919T102018_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
59,95.0,41.0,94.0,81.0,95.0,188.0,122.0,121.0,109.0,157.0,102.0,94.0,,0.0,0.0,0.0,6.0,9.0,19.0,13.0,1932.0,20180716T102019_20180716T102549_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
60,71.0,72.0,93.0,60.0,111.0,226.0,125.0,104.0,79.0,55.0,86.0,67.0,1.0,0.0,0.0,0.0,6.0,12.0,23.0,13.0,1154.0,20180703T101029_20180703T101023_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
61,95.0,1.0,103.0,59.0,85.0,160.0,105.0,119.0,103.0,73.0,60.0,54.0,1.0,0.0,0.0,0.0,6.0,9.0,17.0,11.0,1868.0,20180723T101019_20180723T101036_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
62,101.0,1.0,106.0,70.0,76.0,150.0,101.0,109.0,79.0,84.0,50.0,46.0,1.0,0.0,0.0,0.0,6.0,8.0,16.0,11.0,1891.0,20180723T101019_20180723T101036_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
63,71.0,1.0,83.0,76.0,107.0,224.0,124.0,122.0,79.0,98.0,89.0,63.0,1.0,0.0,0.0,0.0,6.0,11.0,23.0,13.0,1142.0,20180703T101029_20180703T101023_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
64,113.0,1.0,50.0,58.0,1.0,1.0,32.0,74.0,3.0,11.0,19.0,1.0,1.0,0.0,0.0,0.0,6.0,,,3.0,308.0,20180206T102209_20180206T102206_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
65,113.0,1.0,64.0,37.0,1.0,1.0,36.0,61.0,30.0,22.0,26.0,3.0,1.0,0.0,0.0,0.0,6.0,,,3.0,313.0,20180206T102209_20180206T102206_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
66,95.0,274.0,199.0,163.0,294.0,324.0,246.0,241.0,200.0,256.0,214.0,210.0,262.0,0.0,0.0,0.0,3.0,30.0,33.0,25.0,1526.0,20180611T102021_20180611T102022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
67,83.0,215.0,113.0,93.0,229.0,285.0,245.0,237.0,155.0,160.0,177.0,146.0,56.0,0.0,0.0,0.0,6.0,23.0,29.0,24.0,618.0,20180402T102021_20180402T102435_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
68,83.0,267.0,107.0,82.0,232.0,285.0,244.0,238.0,165.0,164.0,176.0,156.0,136.0,0.0,0.0,0.0,6.0,23.0,29.0,24.0,613.0,20180402T102021_20180402T102435_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
69,95.0,341.0,207.0,166.0,286.0,321.0,245.0,245.0,227.0,296.0,213.0,248.0,388.0,0.0,0.0,0.0,3.0,32.0,33.0,25.0,1519.0,20180611T102021_20180611T102022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
70,71.0,53.0,122.0,109.0,97.0,196.0,139.0,168.0,89.0,93.0,114.0,75.0,25.0,0.0,0.0,0.0,6.0,9.0,20.0,15.0,1105.0,20180929T102021_20180929T102019_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
71,113.0,4032.0,4552.0,3927.0,3905.0,4387.0,4585.0,4907.0,4783.0,4645.0,4784.0,4471.0,6389.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,575.0,20180216T102059_20180216T102102_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
72,113.0,4190.0,4714.0,4237.0,3926.0,4387.0,4610.0,4866.0,4999.0,4899.0,4818.0,4783.0,6696.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,617.0,20180216T102059_20180216T102102_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
73,77.0,76.0,115.0,124.0,91.0,192.0,132.0,174.0,89.0,103.0,107.0,84.0,85.0,0.0,0.0,0.0,6.0,11.0,20.0,15.0,1111.0,20180929T102021_20180929T102019_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
74,95.0,2259.0,3508.0,2853.0,2064.0,2720.0,3091.0,3288.0,3532.0,3437.0,3213.0,3271.0,4209.0,0.0,0.0,0.0,8.0,210.0,255.0,255.0,1033.0,20180427T102019_20180427T102022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
75,101.0,2544.0,3245.0,2553.0,2077.0,2759.0,3120.0,3078.0,3125.0,3028.0,3241.0,2834.0,4405.0,0.0,0.0,0.0,9.0,211.0,255.0,255.0,1015.0,20180427T102019_20180427T102022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
76,107.0,1498.0,1429.0,1201.0,1346.0,1372.0,1284.0,1588.0,2029.0,2195.0,1940.0,2216.0,3985.0,0.0,0.0,2048.0,8.0,137.0,140.0,131.0,1429.0,20180524T101019_20180524T101022_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
77,208.0,12759.0,6907.0,5685.0,12024.0,11024.0,10472.0,11429.0,10587.0,10173.0,10336.0,9768.0,16062.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2292.0,20180713T101029_20180713T101023_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
78,119.0,48.0,221.0,193.0,177.0,67.0,109.0,145.0,89.0,139.0,241.0,168.0,166.0,0.0,0.0,2048.0,3.0,18.0,6.0,11.0,230.0,20180201T102241_20180201T102237_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
79,113.0,1479.0,1389.0,1188.0,1350.0,1376.0,1290.0,1532.0,1965.0,2168.0,1942.0,2191.0,4062.0,0.0,0.0,2048.0,8.0,138.0,140.0,132.0,1447.0,20180524T101019_20180524T101022_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
80,208.0,13030.0,6917.0,5649.0,12000.0,11016.0,10456.0,11475.0,10634.0,10191.0,10312.0,9735.0,16098.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,2307.0,20180713T101029_20180713T101023_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
81,166.0,806.0,216.0,176.0,720.0,753.0,635.0,666.0,532.0,470.0,434.0,432.0,271.0,0.0,0.0,0.0,6.0,73.0,76.0,64.0,212.0,20180228T101021_20180228T101021_T33UUU,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
82,119.0,14.0,223.0,192.0,170.0,61.0,110.0,148.0,92.0,106.0,251.0,147.0,109.0,0.0,0.0,2048.0,3.0,17.0,6.0,11.0,209.0,20180201T102241_20180201T102237_T32UQD,Halensee,52.49494630022699,13.280953690321065,"{""type"":""Point"",""coordinates"":[13.280953690321065,52.49494630022699]}"
